2019-12-01,1,0,0,0
2019-12-02,1,0,0,0
2019-12-03,1,0,0,0
2019-12-04,1,0,0,0
2019-12-05,1,0,0,0
2019-12-06,1,0,0,0
2019-12-07,1,0,0,0
2019-12-08,1,0,0,0
2019-12-09,1,0,0,0
2019-12-10,1,0,0,0
2019-12-11,4,0,0,0
2019-12-12,4,0,0,0
2019-12-13,4,0,0,0
2019-12-14,4,0,0,0
2019-12-15,6,0,0,0
2019-12-16,6,0,0,0
2019-12-17,7,0,0,0
2019-12-18,8,0,0,0
2019-12-19,9,0,0,0
2019-12-20,14,0,0,0
2019-12-21,18,0,0,0
2019-12-22,21,0,0,0
2019-12-23,29,0,0,0
2019-12-24,30,0,0,0
2019-12-25,33,0,0,0
2019-12-26,35,0,0,0
2019-12-27,37,0,0,0
2019-12-28,37,0,0,0
2019-12-29,37,0,0,0
2019-12-30,37,0,0,0
2019-12-31,40,0,0,0
2020-01-01,43,0,0,0
2020-01-02,44,0,0,0
2020-01-03,41,0,0,0
2020-01-04,41,0,0,0
2020-01-05,41,0,0,0
2020-01-06,41,0,0,0
2020-01-07,41,0,0,0
2020-01-08,41,0,0,0
2020-01-09,41,0,0,0
2020-01-10,41,0,2,1
2020-01-11,41,0,6,1
2020-01-12,41,0,7,1
2020-01-13,41,0,7,1
2020-01-14,41,0,7,1
2020-01-15,41,0,12,2
2020-01-16,47,0,15,2
2020-01-17,62,0,19,2
2020-01-18,198,0,24,3
2020-01-19,275,0,25,4
2020-01-20,295,54,25,6
2020-01-21,445,37,25,9
2020-01-22,577,393,25,17
2020-01-23,839,1072,37,25
2020-01-24,1305,1965,41,41
2020-01-25,1998,2684,52,56
2020-01-26,2777,5794,51,80
2020-01-27,4556,6979,63,106
2020-01-28,6030,9239,106,132
2020-01-29,7784,12167,127,170
2020-01-30,9777,15238,176,213
2020-01-31,11876,17988,248,259
2020-02-01,14465,19544,333,304
2020-02-02,17290,21558,480,361
2020-02-03,20523,23214,637,425
2020-02-04,24324,23260,892,490
2020-02-05,28018,24702,1153,563
2020-02-06,31380,26359,1561,637
2020-02-07,34865,27657,2074,724
2020-02-08,37453,28942,2678,813
2020-02-09,40535,23589,3311,910
2020-02-10,43092,21675,4032,1018
2020-02-11,45128,16067,4781,1115
2020-02-12,59283,13435,5697,1261
2020-02-13,64435,10109,6786,1383
2020-02-14,67091,8969,8164,1526
2020-02-15,69177,8229,9497,1669
2020-02-16,71326,7264,10953,1775
2020-02-17,73331,6242,12658,1873
2020-02-18,75181,5248,14502,2009
2020-02-19,76109,4922,16288,2124
2020-02-20,77089,5206,18411,2247
2020-02-21,77615,5365,20820,2357
2020-02-22,78390,4148,23073,2459
2020-02-23,79153,3434,24937,2613
2020-02-24,80059,2824,27549,2699
2020-02-25,80776,2491,30016,2759
2020-02-26,81718,2358,32776,2800
2020-02-27,82907,2308,36500,2855
2020-02-28,84298,1418,39406,2919
2020-02-29,86274,851,42127,2968
2020-03-01,87487,715,44977,3036
2020-03-02,80302,587,47260,2946
2020-03-03,91480,520,50658,3155
2020-03-04,93736,522,53016,3249
2020-03-05,96075,482,55171,3322
2020-03-06,100314,502,57248,3437
2020-03-07,103752,458,59085,3545
2020-03-08,106336,421,61702,3625
2020-03-09,111269,349,63572,3900
2020-03-10,115515,285,65966,4127
2020-03-11,121344,253,67807,4394
2020-03-12,127660,147,69660,4724
2020-03-13,138384,115,71874,5007
2020-03-14,148110,113,74773,5550
2020-03-15,158635,134,77039,5969
2020-03-16,169830,128,78735,6535
2020-03-17,186415,119,81274,7478
2020-03-18,204348,119,83269,8254
